ID,Category,Title,Summary,Created,Time Spent (min),Type,Reference,Assets Count,Participants Count
E3A9C4A6-1CE9-46E5-B3C5-4F28CD59D364,"Torque Tube For Elevator ","Final Installation Of Clamps ","I hit a snag… When I tightened the first clamp on the right stabilizer sleeve, the whole mechanism started binding.  At first, I thought the clamp was causing the outer sleeve to form in an oval shape. However, with both clamps in and only finger tight, the binding was still there. It turns out the right brass bushing was very slightly misaligned. To confirm, I literally only had to take my left hand and slightly twist the fuselage near the shaft to make it unbind. I put a 0.001 shim under the right sleeve on the front to cant it very slightly. This reduced the resistance to almost nothing. This slowed me down for several days waiting for the shim to come in and to take care of some family stuff. I was sweating bullets to see the final outcome of getting all eight clamps in position and torqued down. I was very relieved to see that there was virtually no binding when I got all the clamps in.
I used an inexpensive borescope and a parts grabber to install the bolts from the inside. Once I figured out the technique, it wasn’t really all that bad but, yes, it was tedious. I also had to grind one thread down on the end of the 1 inch bolt to get the second screw at each point to make the turn through the hole. A three-quarter inch bolt went through very easily, but only left me with about one and a half to 2 threads when torque down. I needed most of the 1 inch bolt to have enough to make sure I could torque it down and have clean threads.  Each of the saddle washers had to be fit for its specific location to allow clearance for welds and rounded corners to fit inside the nylon sleeves.",2025-10-06,57600,"Work Log","",6,0
7F320C5E-116A-4CFC-B337-85163E2BB292,"Torque Tube For Elevator ","Installation Of Saddle Washer Clamps","Although I don’t intend on ever having to touch these again, I’m still prepping so that they could be replaced, if necessary. My access panels will be from the port side of the plane. ",2025-09-25,0,"Work Log","",0,0
1E151E67-774F-4EA9-8DF0-79483901C993,"Torque Tube For Elevator ","Installation And Final Fit Check","I used acetone and a lint free cloth to clean the brass bushings and also clean the outside of the bearing surface of the elevator flanges. I used 100% silicone that appears to be about an ISO 320 viscosity. It’s actually labeled treadmill lubricant but it’s still 100% silicone and the viscosity I want. I wanted to use this instead of grease so that I could put a little sponge reservoir on top of the nylon later to ensure there’s constant lubrication. It seems to be fitting an appropriate amount of “snugness”, and there is no play from side to side and no resistance to the rotation. Only a small amount of force was required to fit the saddle washers in.",2025-09-25,1800,"Work Log","",2,0
E32F23F5-68B1-4DD5-976C-710B46AB0E2B,"Torque Tube For Elevator ","Preparing For Torque Tube Lockdown ","Marking through the torque tube with a 1/4 inch drillbit. Four holes will need to be drilled through the bulkhead so that the nuts and bolts can be accessed once the fuselages together. A three-quarter inch hole will accommodate the socket. If you choose to do the modification this way instead of mod 73, be sure the tubes is level before marking the holes. also, I’m going to coat the inside of the opening and lap it over to ensure a seal from moisture.",2025-09-17,1800,"Work Log","",2,0
3C9B9905-D818-4B1A-9F9A-7923364153A1,"Torque Tube For Elevator ","Making Washers For Lockdown","Creating a saddle washer, and a, sort of, half-moon key to bolt from the inside of the torque tube for the elevators to clamp down the outer components to the tube.  I did most of the work with a Dremel cutoff disk and then did a final polish with the grinder.  (You can see the cutoff disk in the lower ft corner of the ll press photo).",2025-09-17,4500,"Work Log","",2,0
E495B911-3762-4C51-A92D-B532E1BB3211,"Left Horizontal Stabilizer","Unwanted Testament To The Strength Of Flox","I accidentally dropped the trim tab while fitting the next piece. It landed on the extended corner where it had not yet been trimmed. It actually broke the fiberglass and not the joint. Even though I have a repair to do, I now know this is more than strong enough.",2025-09-12,1800,"Work Log","",2,0
922786E9-11F6-4BCE-BDDB-0354D1F432D1,"Left Horizontal Stabilizer","Trim Tab Extension ","For some reason, the trim tab for the left stabilizer was about a quarter of an inch shorter than the right trim Tab. I have looked at several examples and everyone else has them equidistant from the fuselage. Unfortunately, I couldn’t sand the right one down enough to match so I extended the Tab since it was such a small amount, I did not want to do a layup to build up extra weight. I took a Dremel tool and cut several small slots that did not penetrate all the way through. I then had matching slots on the piece of premade panel and filled them with flox. Looks like Frankenstein‘s monster… I added 3/8” and will trim.",2025-09-12,3600,"Work Log","",1,0
FFD11843-51F1-40A2-B1FF-9DE1374DCE81,"Right horizontal stabilizer","First Permanent Coat Of Primer","Finished sanding and repairing most of the blemishes… The attempt was to get them all… But I knew there would be a few. It turned out well. I used a Wagner power painter with the stain nozzle and it worked out very well. Not a very large pattern, but it was quite itemized and made a smooth finish. Only three blemish areas on the top side.",2025-09-02,7200,"Work Log","",2,0
996B147C-70CC-4606-9FA4-F6A2CC5A3AA8,"Right horizontal stabilizer","Pin Hole Opening/cover","They opening where the hole for the pin to attach the stabilizer wasn’t very round. Also, I don’t know if I have the covers from the factory and cannot find images of one. I’ve decided to make a perfectly round hole and then I will actually use a piece of carbon fiber to cut a circle that will fill the hole and be able to seal below it. I will utilize a bar below it so that I can take a screwdriver and tighten it. wish me luck that the plastic cup with a bit of release agent on it actually comes out.😅",2025-08-24,5400,"Work Log","",2,0
FEC31847-E84F-4CE5-8C9F-6EB3E0C7A323,"Right horizontal stabilizer","Final Sand And Fill Before Primer-Top","Sanded down the slurry coat from yesterday. Things worked out actually better than expected, but still another Phil coat was needed. The top side will be ready for priming after the sanding.",2025-08-22,7200,"Work Log","",2,0
