ID,Category,Title,Summary,Created,Time Spent (min),Type,Reference,Assets Count,Participants Count
E32F23F5-68B1-4DD5-976C-710B46AB0E2B,"Torque Tube For Elevator ","","",2025-09-17,0,"Work Log","",0,0
3C9B9905-D818-4B1A-9F9A-7923364153A1,"Torque Tube For Elevator ","Making Washers For Lockdown","Creating a saddle washer, and a, sort of, half key to bolt from the inside of the torque to clamp down the outer components.",2025-09-17,4500,"Work Log","",2,0
E495B911-3762-4C51-A92D-B532E1BB3211,"Left Horizontal Stabilizer","Unwanted Testament To The Strength Of Flocks","I accidentally dropped the trim tab while fitting the next piece. It landed on the extended corner where it had not yet been reinforced. It actually broke the fiberglass and not the joint. Even though I have a repair to do, I now know this is more than strong enough.",2025-09-12,900,"Work Log","",2,0
922786E9-11F6-4BCE-BDDB-0354D1F432D1,"Left Horizontal Stabilizer","Trim Tab Extension ","For some reason, the trim tab for the left stabilizer was about a quarter of an inch shorter than the right trim Tab. I have looked at several examples and everyone else has them equidistant from the fuselage. Unfortunately, I couldn’t send the right one down enough to match so I extended the Tab since it was such a small amount, I did not want to do a layup to build up extra weight. I took a Dremel tool and cut several small slots that did not penetrate all the way through. I then had matching slots on the piece of premade panel and filled them with flocks. Looks like Frankenstein‘s monster…",2025-09-12,3600,"Work Log","",1,0
FFD11843-51F1-40A2-B1FF-9DE1374DCE81,"Right horizontal stabilizer","First Permanent Coat Of Primer","Finished sanding and repairing most of the blemishes… The attempt was to get them all… But I knew there would be a few. It turned out well. I used a Wagner power painter with the stain nozzle and it worked out very well. Not a very large pattern, but it was quite itemized and made a smooth finish. Only three blemish areas on the top side.",2025-09-02,7200,"Work Log","",2,0
996B147C-70CC-4606-9FA4-F6A2CC5A3AA8,"Right horizontal stabilizer","Pin Hole Opening/cover","They opening where the hole for the pen to attach the stabilizer wasn’t very round. Also, I don’t know if I have the covers from the factory and cannot find images of one. I’ve decided to make a perfectly round hole and then I will actually use a piece of carbon fiber to cut a circle that will fill the hole and be able to seal below it. I will utilize a bar below it so that I can take a screwdriver and tighten it. wish me luck that the plastic cup with a bit of release agent on it actually comes out.😅",2025-08-24,5400,"Work Log","",2,0
FEC31847-E84F-4CE5-8C9F-6EB3E0C7A323,"Right horizontal stabilizer","Final Sand And Fill Before Primer-Top","Sanded down the slurry coat from yesterday. Things worked out actually better than expected, but still another Phil coat was needed. The top side will be ready for priming after the sanding.",2025-08-22,7200,"Work Log","",2,0
1A4899EE-AFB4-4F60-AE1D-DCAD39DDBD0F,"Right horizontal stabilizer","Underside Second Slurry Coat","They underside seemed fairly smooth. There was still quite a bit of bumps that I could feel from the peel ply. I decided to do a second slurry coat before trying to fill any of the low spots. Plus, I sanded the top side, which took about an hour and a half. The bottom half required two separate batches of slurry to get smooth and everything covered.",2025-08-21,9000,"Work Log","",1,0
A9FB2FB3-ACE1-4164-888A-14A372BD73E7,"Right horizontal stabilizer","When You Think You’re Spreading Smoothly ","Sanded the first coat of dry micro. I try to technique to spread it thinly but smoothly. Obviously, I did not succeed. You can see after sanding that there are many, many low spots. I knew there would be some problems on the edge where I ran out of micro, but wanted to get this coat sanded before adding more. The dark spots are from the guide coat.",2025-08-19,3600,"Work Log","",1,0
EB0D8677-F4EE-47EA-AD73-4E2F6FBC0ACB,"Right horizontal stabilizer","Slurry Coat And Initial Dry Micro","Covered the stabilizer on both sides with the slurry code and have now started with the dry micro on the top. I will be trying a new method, literally using an icing knife for the first dry micro on the back. I forgot to use it this morning when doing the initial coat on the top.",2025-08-16,0,"Work Log","",1,0
D64EBCAC-9A80-4DF4-86AF-3EC8CD272914,"Research","Visit ","I went to Chattanooga to see Matt Cole‘s Europa access. The trip was both inspirational and educational. Matt has a nice plane set up very similar to what I am going to do. It was very valuable for me to see the finished product and some of the parts connected to each other.",2025-08-15,9000,"Preparation","Matt Cole’s Plane ",10,0
3AF87A7E-F784-4188-862E-41E3F932FB39,"No Category","Repaired Incorrect Trim","It looks like John started trimming the root portion of the right horizontal stabilizer. However, it looks like he realized he was about 1/4 inch off from the leading edge and was going to be 1/8 inch off in the opposite direction at the trailing edge. He did not break the fiberglass completely at the end, but there was a gap. I filled the gap with flox and clamped it. I will add strips of bid after that cures.",2025-08-06,1800,"Work Log","",1,0
FC13B91C-9226-4144-9D0F-A16EFC26C397,"Right horizontal stabilizer","Initial Fitting Of Both Horizontal Stabs","Quite a bit of polishing and lining on both horizontal stabilizers to attach them to the torque tube. The torque tube has to be slightly reworked. There is a modification to clamp the components rather than rely on pins. The pins have a tendency to wallow out and develop some play.
There is a cut on the right stabilizer that now has to be reinforced. Apparently there was a miss measurement and someone started trimming before fitting properly. I will lay up some bid underneath to reinforce as well as fill the void from the sawblade with with flox.",2025-08-05,7200,"Work Log","",5,0
7F9A303E-6EC9-4B2F-99C1-8FBFBC2C8F4B,"No Category","Final Sanding-right Trim Tab","From this, to this, to this…",2025-08-03,3600,"Work Log","",1,0
0E25EC19-DBCF-40D2-A8FB-5E92FC9A17DA,"Right horizontal stabilizer","Flettner Strips","Added the Flettner strips this morning.  The plastic clothes pins seem to clamp at just the right angle to hold both sides flush with the trailing edge.  Hopefully, none of the plastic clothes pins will stick to the epoxy.  They didn’t on the left one.  ",2025-08-01,3600,"Work Log","",1,0
0D832EF0-BD9C-432A-8377-CCACFB95BE70,"Right horizontal stabilizer","Trim Tab Fill Sand","Nothing like a guide coat of primer to show you exactly how uneven the surfaces are. It’s actually pretty flat. We’re only talking a thin film of paint difference.",2025-07-31,2700,"Work Log","",3,0
06E963D5-CBC9-4CCD-8D85-E96749E908AC,"Left Horizontal Stabilizer","Final Sanding","I was able to sand both sides down to what I believe to be a level adequate for a finish. I found that wet sanding with 220 in a very light touch took off adequate amounts. I then followed up with 400 to give it a smooth finish. It did expose some of the micro filler that I had put on. However, (and you might think I’m crazy… ) but I am going to put the first coat of white paint on utilizing Krylon Fusion.  It does not require a primer. This way, I will be able to see progress and not have to stress the hinges if I decided to paint it after it was assembled.  I will decide later if I am going to use a two-part polyurethane for the second coat of white. I will definitely use a two part polyurethane clear topcoat to protect whatever I put on there. ",2025-07-23,14400,"Work Log","",1,0
1A360E5D-40F9-4831-955D-0EA9C40E806C,"Left Horizontal Stabilizer","More Sanding","Primed this morning and then sanded this afternoon. Sandpaper kept clogging.  Switched to wet sanding which seems to work well.  Spent a good portion on the end of the stabilizer trying to figure out if it was a smooth hump or a reflection.
I have to admit, it’s a little disappointing to think you have got it smooth enough for primer and then when you sand the primer you realize how bumpy it was… I figured I would have a few few areas to touch up, but I’m only a fourth of the way through .",2025-07-22,14400,"Achievement","",1,0
94BE95DF-5E60-440F-A1B5-9B9F114ACED3,"Sharable lessons learned and/or advice","Sanding","When life gives you lemons…  My wife decided she did not like the idea of me sanding in the garage even though the Eastwood system was excellent and capturing all of the dust.  I found that going out to the driveway, setting the work piece on saw horses with a foam mount to stabilize the piece and using a blower sitting on a stool next to the piece made it very efficient.  The blower would blow off any dust into the yard and I didn’t even have to wear a mask.  The dust doesn’t build up under the sandpaper increasing efficiency.",2025-07-21,900,"Advice","",0,0
ABBFD865-1567-4882-9DCD-115FAEB63A84,"Left Horizontal Stabilizer","Left Stabilator Layups and alignment","Verification of all of the layups and proper hole positions. There was a defect or dent in the TP5 sleeve in the 2 o'clock position abut 2.5 inches in. While only about 2/1000, it was enough to cause the TP4 tube to bind when trying to insert. The defect was a small pocket of a crystalline type substance... maybe a pieced of embedded sand. It was scratching the tube. It took several attempts to dig it out with dental picks and some light sanding and polishing.",2025-06-18,14400,"Work Log","",0,0
